"","displayformat","incongruency","RT_ave"
"1","2D","congruent",426.470763157895
"2","2D","incongruent",457.750594444444
"3","2D","congruent",444.895436842105
"4","2D","incongruent",460.759263157895
"5","2D","congruent",451.974033333333
"6","2D","incongruent",432.624333333333
"7","2D","congruent",475.141505263158
"8","2D","incongruent",476.248563157895
"9","2D","congruent",533.684075
"10","2D","incongruent",530.837215789474
"11","2D","congruent",354.929168421053
"12","2D","incongruent",377.640244444444
"13","2D","congruent",375.377394736842
"14","2D","incongruent",377.703063157895
"15","2D","congruent",353.858347368421
"16","2D","incongruent",351.109057894737
"17","2D","congruent",356.349284210526
"18","2D","incongruent",379.132342105263
"19","2D","congruent",354.9396
"20","2D","incongruent",373.699061111111
"21","2D","congruent",306.377431578947
"22","2D","incongruent",339.10033125
"23","2D","congruent",496.234805263158
"24","2D","incongruent",512.085711111111
"25","2D","congruent",496.300231578947
"26","2D","incongruent",506.483036842105
"27","2D","congruent",359.588089473684
"28","2D","incongruent",362.067321052632
"29","2D","congruent",401.187621052632
"30","2D","incongruent",403.304042105263
"31","2D","congruent",457.350226315789
"32","2D","incongruent",456.460272222222
"33","2D","congruent",444.437315
"34","2D","incongruent",475.597826315789
"35","2D","congruent",379.972888888889
"36","2D","incongruent",373.936815789474
"37","2D","congruent",401.704210526316
"38","2D","incongruent",395.302083333333
"39","2D","congruent",324.082721052632
"40","2D","incongruent",341.650336842105
