stimulus, response, TF, RT
rightIncongruent,right,1,2624.3585
leftCongruent,left,1,809.1181
rightCongruent,right,1,642.125
leftIncongruent,left,1,684.0507
leftIncongruent,left,1,571.9353
leftIncongruent,left,1,503.0246
leftCongruent,left,1,502.649
leftCongruent,left,1,433.5117
rightIncongruent,right,1,544.3562
leftIncongruent,left,1,572.6998
rightIncongruent,right,1,600.6946
rightIncongruent,right,1,488.769
leftCongruent,left,1,489.0535
leftIncongruent,left,1,502.9601
leftCongruent,left,1,489.1497
rightIncongruent,right,1,516.9489
leftCongruent,left,1,502.9503
rightCongruent,right,1,558.4156
leftCongruent,left,1,446.8675
rightCongruent,right,1,516.9809
rightCongruent,right,1,516.9791
leftIncongruent,left,1,390.9961
leftIncongruent,left,1,447.2753
leftIncongruent,left,1,446.743
rightIncongruent,right,1,447.1773
rightCongruent,right,1,474.4585
leftIncongruent,left,1,419.3752
rightCongruent,right,1,530.8598
leftCongruent,left,1,377.691
leftIncongruent,left,1,474.9675
rightCongruent,right,1,586.1489
rightCongruent,right,1,460.9486
rightCongruent,right,1,517.0783
rightIncongruent,right,1,530.7573
rightIncongruent,right,1,516.7411
rightIncongruent,right,1,488.7483
leftCongruent,left,1,433.5949
rightIncongruent,right,1,474.9574
leftCongruent,left,1,419.3755
rightCongruent,right,1,530.8666
