stimulus, response, TF, RT
leftCongruent,left,1,507.8291
leftCongruent,left,1,487.2527
rightIncongruent,right,1,431.8488
rightCongruent,right,1,431.5786
rightCongruent,right,1,473.0135
rightIncongruent,right,1,473.715
leftCongruent,left,1,500.9016
rightIncongruent,right,1,445.7787
leftIncongruent,left,1,557.2118
leftCongruent,left,1,445.6918
rightIncongruent,right,1,417.9307
leftCongruent,left,1,473.3036
leftCongruent,left,1,459.6317
leftIncongruent,left,1,473.6767
leftIncongruent,left,1,459.48
leftCongruent,left,1,421.156
leftIncongruent,left,1,403.8541
rightCongruent,right,1,389.9136
rightCongruent,right,1,403.8587
leftCongruent,right,0,389.838
rightCongruent,right,1,529.7358
rightCongruent,right,1,445.5051
rightCongruent,right,1,404.6575
rightIncongruent,right,1,487.4838
leftIncongruent,left,1,515.1885
rightIncongruent,right,1,598.8871
rightIncongruent,right,1,459.9897
leftIncongruent,left,1,529.6409
rightIncongruent,right,1,403.7408
rightCongruent,right,1,417.4857
leftIncongruent,left,1,473.8073
rightIncongruent,right,1,570.728
leftCongruent,left,1,404.2899
rightCongruent,right,1,459.9722
rightIncongruent,right,1,529.0186
leftIncongruent,left,1,501.2684
leftIncongruent,left,1,501.2071
leftIncongruent,left,1,431.5988
rightCongruent,right,1,459.4502
leftCongruent,left,1,445.8611
