stimulus, response, TF, RT
rightCongruent,right,1,625.1163
rightCongruent,right,1,1657.6536
rightIncongruent,right,1,557.819
leftCongruent,left,1,516.2737
leftIncongruent,left,1,517.0178
leftCongruent,left,1,531.0403
rightCongruent,right,1,489.263
leftCongruent,left,1,475.4446
leftCongruent,left,1,475.3545
rightCongruent,right,1,461.3921
rightCongruent,right,1,531.0872
rightCongruent,right,1,433.3422
rightIncongruent,right,1,517.0911
leftIncongruent,left,1,461.5297
rightCongruent,right,1,475.6356
leftIncongruent,left,1,405.2884
leftCongruent,left,1,489.4173
leftCongruent,left,1,531.1946
leftCongruent,left,1,489.3074
rightCongruent,right,1,517.0635
leftIncongruent,left,1,545.3597
rightCongruent,right,1,517.3805
leftIncongruent,left,1,461.3716
rightIncongruent,right,1,531.0841
leftIncongruent,left,1,433.1568
rightIncongruent,right,1,489.5468
rightIncongruent,right,1,461.3341
leftIncongruent,left,1,406.038
rightIncongruent,right,1,391.0908
rightIncongruent,right,1,503.2284
leftIncongruent,left,1,475.6073
rightIncongruent,right,1,489.6309
leftIncongruent,left,1,447.6534
rightIncongruent,right,1,503.0032
rightIncongruent,right,1,503.0042
leftIncongruent,left,1,502.4465
leftCongruent,left,1,489.8731
leftCongruent,left,1,475.5081
rightCongruent,right,1,503.7523
leftCongruent,left,1,503.1621
