stimulus, response, TF, RT
leftCongruent,left,1,913.4298
rightCongruent,right,1,613.5091
leftIncongruent,left,1,418.7631
leftIncongruent,left,1,516.5126
leftCongruent,left,1,433.0726
leftCongruent,left,1,543.9676
rightCongruent,right,1,543.9893
leftCongruent,left,1,362.8263
rightCongruent,right,1,683.3738
rightCongruent,right,1,600.4445
rightIncongruent,right,1,544.123
leftIncongruent,left,1,418.9214
leftIncongruent,left,1,349.3429
rightIncongruent,right,1,516.1822
rightCongruent,right,1,391.1824
rightIncongruent,right,1,544.7614
rightIncongruent,right,1,530.5031
leftCongruent,left,1,474.7756
leftCongruent,left,1,362.8955
leftIncongruent,left,1,461.0416
rightIncongruent,right,1,502.5109
rightIncongruent,right,1,335.3319
rightCongruent,right,1,432.9278
leftCongruent,left,1,433.0934
leftCongruent,left,1,292.9291
leftIncongruent,left,1,390.8448
rightIncongruent,right,1,585.8741
rightCongruent,right,1,446.804
leftIncongruent,left,1,488.1283
leftIncongruent,left,1,488.8115
rightIncongruent,right,1,405.2081
leftIncongruent,left,1,335.4899
leftCongruent,left,1,392.7304
rightCongruent,left,0,308.5233
rightIncongruent,right,1,614.2083
rightCongruent,right,1,363.3814
rightIncongruent,right,1,558.3142
rightCongruent,right,1,390.925
leftIncongruent,left,1,502.4592
leftCongruent,left,1,377.3695
