stimulus, response, TF, RT
leftIncongruent,right,0,297.2299
rightCongruent,right,1,405.5504
leftIncongruent,left,1,405.1484
leftCongruent,left,1,488.3448
rightIncongruent,right,1,348.9062
leftCongruent,left,1,349.251
rightIncongruent,right,1,377.0739
rightIncongruent,right,1,419.0868
rightCongruent,right,1,363.5298
rightIncongruent,right,1,418.9059
leftIncongruent,left,1,460.9627
leftIncongruent,left,1,544.29
leftIncongruent,left,1,586.7853
leftCongruent,left,1,404.423
rightIncongruent,right,1,432.7142
rightIncongruent,right,1,432.6511
rightCongruent,right,1,432.9547
leftIncongruent,left,1,474.8041
leftCongruent,left,1,474.3145
leftIncongruent,left,1,419.4035
rightIncongruent,right,1,390.6609
rightCongruent,right,1,391.4323
leftIncongruent,left,1,363.3836
leftCongruent,left,1,376.8248
leftCongruent,left,1,418.786
rightCongruent,right,1,363.0385
leftCongruent,left,1,390.982
leftIncongruent,left,1,349.1905
leftCongruent,left,1,433.1433
rightCongruent,right,1,321.4478
leftCongruent,left,1,446.9821
rightIncongruent,right,1,363.5618
leftIncongruent,left,1,321.2468
rightCongruent,right,1,363.0551
leftCongruent,left,1,334.9001
rightCongruent,right,1,293.3301
rightIncongruent,right,1,376.9082
rightCongruent,right,1,419.1373
rightIncongruent,right,1,363.3586
rightCongruent,right,1,418.9597
