stimulus, response, TF, RT
rightIncongruent,right,1,462.6124
leftIncongruent,left,1,363.234
leftCongruent,left,1,404.9428
leftCongruent,right,0,376.7925
rightIncongruent,right,1,362.8104
leftIncongruent,left,1,446.3172
rightIncongruent,right,1,334.4364
leftCongruent,left,1,334.836
leftCongruent,left,1,362.7019
rightIncongruent,right,1,334.6029
rightCongruent,right,1,432.5198
rightIncongruent,right,1,445.8968
leftCongruent,left,1,334.529
leftIncongruent,left,1,669.6722
rightIncongruent,right,1,320.8511
leftIncongruent,left,1,279.2296
leftCongruent,left,1,432.4413
leftIncongruent,left,1,432.1386
leftIncongruent,left,1,390.6946
leftIncongruent,right,0,376.7002
rightCongruent,right,1,404.1119
rightCongruent,right,1,404.8626
rightIncongruent,right,1,389.9213
rightCongruent,right,1,335.2966
leftIncongruent,left,1,390.7169
rightCongruent,right,1,334.76
rightCongruent,right,1,362.7495
leftCongruent,left,1,418.4306
rightIncongruent,right,1,376.5456
rightCongruent,right,1,292.9327
leftIncongruent,left,1,376.6081
rightCongruent,right,1,404.7524
rightCongruent,right,1,292.8839
leftCongruent,left,1,474.4763
rightCongruent,right,1,390.9236
leftIncongruent,left,1,418.4875
leftCongruent,left,1,334.6408
rightIncongruent,right,1,404.5805
rightIncongruent,right,1,390.5036
leftCongruent,left,1,376.5078
