stimulus, response, TF, RT
rightCongruent,right,1,365.2572
leftIncongruent,left,1,390.3049
leftCongruent,left,1,432.4991
leftCongruent,left,1,418.2497
leftCongruent,left,1,487.8634
rightCongruent,right,1,431.8885
leftCongruent,left,1,473.9812
leftIncongruent,left,1,613.264
rightIncongruent,right,1,543.7178
rightCongruent,right,1,474.0387
leftIncongruent,left,1,473.9294
leftCongruent,left,1,446.0753
rightCongruent,right,1,488.2042
leftIncongruent,left,1,431.7885
rightIncongruent,right,1,446.34
rightIncongruent,right,1,501.9235
leftIncongruent,left,1,362.4398
leftCongruent,left,1,376.6777
leftIncongruent,left,1,404.0939
leftIncongruent,left,1,543.8339
leftIncongruent,left,1,585.2859
rightCongruent,right,1,501.6726
rightIncongruent,right,1,682.9313
rightIncongruent,right,1,473.5114
rightCongruent,right,1,515.9689
leftCongruent,left,1,501.6777
rightCongruent,right,1,418.0528
rightCongruent,right,1,432.3276
rightIncongruent,right,1,473.779
leftCongruent,left,1,445.904
leftIncongruent,left,1,306.9753
leftCongruent,left,1,362.4181
rightCongruent,right,1,390.5049
rightIncongruent,right,1,404.316
rightIncongruent,right,1,432.0438
leftIncongruent,left,1,431.7542
rightIncongruent,right,1,432.3482
rightIncongruent,right,1,501.4898
leftCongruent,left,1,432.2804
rightCongruent,right,1,320.5558
