stimulus, response, TF, RT
leftCongruent,left,1,337.7347
leftIncongruent,left,1,419.0581
rightIncongruent,right,1,335.0768
leftCongruent,left,1,460.4389
rightCongruent,right,1,321.0945
rightIncongruent,right,1,432.4418
rightIncongruent,right,1,348.787
rightIncongruent,right,1,418.5326
rightCongruent,right,1,293.1273
leftCongruent,left,1,376.7257
rightCongruent,right,1,376.6477
leftIncongruent,left,1,376.4816
leftCongruent,left,1,362.8256
rightIncongruent,right,1,335.2864
leftCongruent,left,1,307.5218
rightCongruent,right,1,306.8086
leftCongruent,left,1,363.0026
leftIncongruent,left,1,487.8548
rightIncongruent,right,1,348.454
leftIncongruent,left,1,543.8279
rightCongruent,right,1,320.9529
leftCongruent,left,1,362.4968
leftIncongruent,right,0,293.2854
rightIncongruent,right,1,348.552
rightCongruent,right,1,321.3144
leftIncongruent,left,1,376.3449
rightIncongruent,right,1,348.7866
leftCongruent,left,1,306.8241
rightIncongruent,right,1,292.9519
rightCongruent,right,1,349.0741
leftIncongruent,left,1,321.0683
rightCongruent,right,1,390.2658
leftIncongruent,left,1,362.7347
rightIncongruent,right,1,279.1228
leftCongruent,left,1,362.7862
rightCongruent,right,1,321.0434
leftCongruent,left,1,334.8069
rightCongruent,right,1,293.117
leftIncongruent,left,1,320.8549
leftIncongruent,left,1,348.479
