stimulus, response, TF, RT
leftCongruent,left,1,397.6416
rightIncongruent,right,1,516.8603
rightIncongruent,right,1,544.0643
leftCongruent,left,1,599.4807
leftIncongruent,left,1,516.6117
rightCongruent,right,1,502.4839
rightIncongruent,right,1,460.544
leftIncongruent,left,1,405.2223
rightCongruent,right,1,558.4234
leftIncongruent,left,1,488.6055
rightCongruent,right,1,419.1124
leftCongruent,left,1,530.5
leftCongruent,left,1,669.474
leftCongruent,left,1,809.4012
leftIncongruent,left,1,544.2684
rightIncongruent,right,1,488.5977
leftCongruent,left,1,390.4838
rightCongruent,right,1,419.2795
rightIncongruent,right,1,461.0224
rightCongruent,right,1,447.2224
leftIncongruent,left,1,474.6553
rightIncongruent,right,1,432.4974
leftIncongruent,left,1,447.2702
rightIncongruent,right,1,460.7092
leftIncongruent,left,1,488.5533
leftCongruent,left,1,460.2721
leftIncongruent,left,1,377.3037
rightCongruent,right,1,405.3589
leftCongruent,left,1,488.1765
rightCongruent,right,1,516.7446
rightIncongruent,right,1,488.1187
leftIncongruent,left,1,460.7189
leftCongruent,left,1,404.6215
leftCongruent,left,1,502.4667
rightIncongruent,right,1,433.2625
rightIncongruent,right,1,418.616
rightCongruent,right,1,419.0567
rightCongruent,right,1,390.7028
rightCongruent,right,1,405.4724
leftIncongruent,left,1,544.356
