stimulus, response, TF, RT
rightIncongruent,right,1,518.8296
rightIncongruent,right,1,348.7856
leftIncongruent,left,1,363.2645
rightIncongruent,right,1,307.1344
rightCongruent,right,1,348.8973
rightCongruent,right,1,306.9363
leftIncongruent,left,1,362.474
leftIncongruent,left,1,405.1868
rightIncongruent,right,1,348.5019
rightCongruent,right,1,349.1796
leftIncongruent,left,1,348.578
leftCongruent,left,1,418.4464
rightIncongruent,right,1,376.8076
leftCongruent,left,1,335.0416
leftCongruent,left,1,418.5796
rightIncongruent,right,1,362.395
rightIncongruent,right,1,390.9024
rightCongruent,right,1,474.1585
leftIncongruent,left,1,320.94
rightCongruent,right,1,362.593
leftCongruent,left,1,403.9602
leftCongruent,left,1,362.9449
leftIncongruent,left,1,432.1341
rightCongruent,right,1,376.8494
leftIncongruent,left,1,558.039
leftIncongruent,left,1,516.0267
rightIncongruent,right,1,376.4598
leftCongruent,left,1,348.2898
rightCongruent,right,1,446.3918
rightIncongruent,right,1,543.7796
leftCongruent,left,1,432.2902
rightCongruent,right,1,460.3386
leftCongruent,left,1,432.4938
rightCongruent,right,1,432.0758
leftCongruent,left,1,488.3515
leftIncongruent,left,1,432.3473
rightIncongruent,right,1,376.1219
rightCongruent,right,1,362.6194
leftCongruent,left,1,404.414
leftIncongruent,left,1,320.8419
