stimulus, response, TF, RT
rightCongruent,right,1,557.5188
leftCongruent,left,1,418.6768
leftCongruent,left,1,516.0156
rightIncongruent,right,1,418.4929
leftIncongruent,left,1,557.5877
rightIncongruent,right,1,432.4354
leftIncongruent,left,1,473.9522
rightCongruent,right,1,418.5855
rightCongruent,right,1,431.926
rightCongruent,right,1,474.1269
rightCongruent,right,1,418.4591
leftCongruent,left,1,655.2041
rightIncongruent,right,1,515.8197
leftCongruent,left,1,445.9748
leftIncongruent,left,1,585.598
leftCongruent,left,1,557.472
rightIncongruent,right,1,529.3909
rightIncongruent,right,1,557.444
leftCongruent,left,1,459.8987
rightCongruent,right,1,459.9836
leftCongruent,left,1,613.5048
leftCongruent,left,1,682.7081
leftCongruent,left,1,529.8083
rightIncongruent,right,1,473.9557
leftCongruent,left,1,431.9392
rightCongruent,right,1,404.3149
leftIncongruent,left,1,543.6376
rightCongruent,right,1,543.3115
leftIncongruent,left,1,585.5502
rightIncongruent,right,1,459.9735
rightCongruent,right,1,474.0336
rightIncongruent,right,1,460.2627
leftIncongruent,left,1,473.6769
rightIncongruent,right,1,446.1139
rightIncongruent,right,1,460.1458
leftIncongruent,left,1,459.9122
leftIncongruent,left,1,585.0162
leftIncongruent,left,1,487.8032
leftIncongruent,left,1,515.6818
rightCongruent,right,1,362.5144
