stimulus, response, TF, RT
leftCongruent,left,1,490.672
rightIncongruent,right,1,641.248
leftIncongruent,left,1,390.5676
leftCongruent,left,1,502.3358
rightCongruent,right,1,613.1168
leftIncongruent,left,1,306.9962
rightIncongruent,right,1,279.2439
leftCongruent,left,1,334.8918
leftCongruent,left,1,334.7974
leftCongruent,left,1,404.4652
rightCongruent,right,1,362.8553
rightIncongruent,right,1,432.4687
rightCongruent,right,1,446.0929
leftIncongruent,left,1,404.7547
leftCongruent,left,1,473.7727
leftIncongruent,left,1,348.9881
leftIncongruent,left,1,487.8168
rightIncongruent,right,1,446.534
leftIncongruent,left,1,404.4899
leftIncongruent,left,1,418.4665
leftCongruent,left,1,418.6558
rightCongruent,right,1,488.7086
leftCongruent,left,1,418.4469
rightCongruent,right,1,446.2933
leftCongruent,left,1,390.6892
rightCongruent,right,1,432.0915
leftCongruent,left,1,488.2976
rightIncongruent,right,1,390.3747
rightIncongruent,right,1,460.1147
rightIncongruent,right,1,446.2397
leftIncongruent,left,1,502.0035
rightCongruent,right,1,516.0203
rightCongruent,right,1,460.2842
rightCongruent,right,1,404.425
rightIncongruent,right,1,404.56
rightIncongruent,right,1,557.5273
leftIncongruent,left,1,404.3547
rightCongruent,right,1,404.2264
rightIncongruent,right,1,376.7665
leftIncongruent,left,1,460.1805
