stimulus, response, TF, RT
leftIncongruent,left,1,531.5073
leftIncongruent,left,1,405.1702
rightCongruent,right,1,446.7222
rightIncongruent,right,1,558.1716
leftCongruent,left,1,335.1543
leftCongruent,left,1,2925.2754
rightIncongruent,right,1,4039.527
rightCongruent,right,1,4762.3982
rightCongruent,left,0,836.6817
leftCongruent,right,0,808.7428
leftIncongruent,left,1,516.1739
leftIncongruent,right,0,683.8847
leftIncongruent,right,0,683.6518
rightIncongruent,left,0,934.7133
rightCongruent,right,1,1394.56
leftIncongruent,left,1,502.4154
rightCongruent,right,1,362.7469
leftIncongruent,left,1,377.1549
rightCongruent,right,1,432.9324
leftCongruent,left,1,446.1435
leftIncongruent,left,1,460.7945
leftCongruent,left,1,515.8519
rightCongruent,right,1,405.6623
leftCongruent,left,1,460.6017
rightCongruent,right,1,474.8899
rightIncongruent,right,1,781.3807
rightIncongruent,right,1,892.5716
rightIncongruent,right,1,572.5599
leftCongruent,left,1,432.465
rightCongruent,right,1,656.2597
leftIncongruent,left,1,683.8081
rightCongruent,right,1,433.1156
leftCongruent,left,1,460.274
rightIncongruent,right,1,502.8374
leftCongruent,left,1,460.3734
leftCongruent,left,1,613.5083
rightIncongruent,right,1,628.2788
leftIncongruent,left,1,530.6488
rightIncongruent,right,1,363.4343
rightIncongruent,right,1,474.8791
