stimulus, response, TF, RT
rightCongruent,right,1,733.1544
rightIncongruent,right,1,516.0138
leftIncongruent,left,1,376.7232
rightIncongruent,right,1,459.9925
rightIncongruent,right,1,516.0838
leftIncongruent,left,1,6973.4874
leftIncongruent,left,1,6517.1398
rightCongruent,right,1,5278.4762
leftIncongruent,right,0,710.5524
leftIncongruent,left,1,460.2722
rightIncongruent,left,0,446.4888
rightCongruent,left,0,432.3166
leftCongruent,right,0,543.8091
leftCongruent,right,0,404.2337
rightCongruent,left,0,655.2254
rightIncongruent,right,1,460.32
leftCongruent,left,1,418.3677
leftCongruent,left,1,488.0444
leftIncongruent,left,1,515.5168
rightCongruent,right,1,376.4381
rightCongruent,right,1,557.8311
leftIncongruent,left,1,432.5479
leftCongruent,left,1,376.7507
rightIncongruent,right,1,404.4045
leftIncongruent,left,1,376.2644
leftCongruent,left,1,474.5438
rightIncongruent,right,1,487.9495
rightCongruent,right,1,515.717
rightCongruent,right,1,530.1067
rightIncongruent,right,1,502.1335
leftCongruent,left,1,362.4196
leftIncongruent,left,1,599.4387
leftCongruent,left,1,474.1964
rightCongruent,right,1,502.0192
rightCongruent,right,1,571.8059
leftCongruent,left,1,432.2664
leftCongruent,left,1,613.6702
leftIncongruent,left,1,418.4413
rightIncongruent,right,1,446.507
rightIncongruent,right,1,432.3589
