stimulus, response, TF, RT
leftIncongruent,left,1,4571.3456
leftIncongruent,left,1,4165.3916
leftCongruent,left,1,4427.5728
rightCongruent,right,1,2660.0782
rightIncongruent,left,0,1156.5486
rightCongruent,left,0,627.0495
leftIncongruent,right,0,669.0412
rightIncongruent,left,0,640.7601
leftCongruent,right,0,752.3754
rightCongruent,right,1,849.7405
rightCongruent,right,1,459.9172
rightCongruent,right,1,418.1994
leftCongruent,left,1,460.0093
leftCongruent,left,1,459.9039
rightIncongruent,right,1,459.9136
leftIncongruent,left,1,654.8434
leftIncongruent,left,1,640.7754
rightCongruent,right,1,585.1123
leftCongruent,left,1,446.2527
leftCongruent,left,1,501.7532
rightIncongruent,right,1,487.5243
leftCongruent,left,1,432.3178
rightIncongruent,right,1,348.4474
rightIncongruent,right,1,473.6567
leftIncongruent,left,1,417.8529
leftCongruent,left,1,376.131
rightCongruent,right,1,362.8976
leftIncongruent,left,1,362.2198
rightIncongruent,right,1,376.2373
rightCongruent,right,1,404.404
leftCongruent,left,1,418.1389
rightIncongruent,right,1,432.1972
leftCongruent,left,1,376.1904
rightIncongruent,right,1,418.0914
rightCongruent,right,1,501.6765
rightCongruent,right,1,473.8049
rightIncongruent,right,1,404.3059
leftIncongruent,left,1,473.8016
leftIncongruent,left,1,459.8494
leftIncongruent,left,1,487.6373
