stimulus, response, TF, RT
rightCongruent,right,1,408.3975
leftIncongruent,left,1,600.0175
leftCongruent,left,1,474.7586
rightCongruent,right,1,474.4264
leftCongruent,left,1,933.7975
rightIncongruent,right,1,6207.7187
leftCongruent,left,1,6169.2448
leftCongruent,left,1,6182.3868
leftCongruent,right,0,543.4909
leftCongruent,right,0,780.2383
leftCongruent,right,0,627.2988
leftCongruent,right,0,432.3112
leftIncongruent,right,0,612.9801
leftCongruent,left,1,544.0941
rightCongruent,right,1,348.543
leftIncongruent,left,1,390.6606
leftIncongruent,left,1,515.9134
rightIncongruent,right,1,446.2883
leftIncongruent,left,1,390.6764
rightCongruent,right,1,529.3673
rightIncongruent,right,1,432.5687
leftIncongruent,left,1,418.4454
rightIncongruent,right,1,404.1887
rightCongruent,right,1,446.4017
rightCongruent,right,1,418.5453
rightCongruent,right,1,432.2103
rightCongruent,right,1,474.392
rightIncongruent,right,1,446.468
rightIncongruent,right,1,446.2512
rightIncongruent,right,1,446.0967
leftIncongruent,left,1,1059.005
leftIncongruent,left,1,390.3261
leftIncongruent,left,1,445.8301
rightIncongruent,right,1,376.4213
rightCongruent,right,1,446.5249
leftIncongruent,left,1,390.2537
rightIncongruent,right,1,418.4307
rightCongruent,right,1,627.3385
leftCongruent,left,1,432.1278
rightIncongruent,right,1,418.4554
